"Reference","Value","Qty","PartNumber","DNP"
"C1","10u","1","T491A106M016AT",""
"C2,C3","1u","2","C0603C105K4RACTU",""
"C4","2n","1","C0603C202J5GACTU",""
"C6","680p","1","C0603C681F5GACTU",""
"C7,C9","10p","2","C0603C100J5GACTU",""
"C8","10n","1","C1206X103JAGACAUTO",""
"D1","SM6T150A","1","SM6T150A",""
"D2,D3","5.6V","2","DDZ5V6BSF-7",""
"F1","20A","1","0683G9200-01",""
"J1","Conn_02x04_Odd_Even","1","TSM-104-01-L-DV-P-TR",""
"J2,J4,J6,J7","Conn_Coaxial","4","66012102111404",""
"J3,J5","7466203","2","7466203",""
"L1","20n","1","7449152022",""
"Q2","IGT65R025D2","1","IGT65R025D2ATMA1",""
"R1","0.1","1","D2TO035CR1000FTE3",""
"R2,R7,R10,R11,R19,R20","10k","6","CRCW060310K0FKEA",""
"R3,R4","49.9","2","CRCW060349R9FKEA",""
"R5,R18","20","2","CRCW060320R0FKEA",""
"R6,R21","1Meg","2","CRCW06031M00FKEA",""
"R8,R16","10","2","CRCW060310R0FKEA",""
"R12,R13,R14,R15","1k","4","CRCW06031K00FKEA",""
"R17","0.1","1","RCWE0805R100FKEA",""
"RV1,RV2","200","2","3214W-1-201E",""
"TJ1,TJ2,TJ3,TJ4,TJ5,TJ6,TJ7,TJ8,TJ9,TJ10,TJ11,TJ12,TJ13,TJ14,TJ15,TJ16,TJ17,TJ18,TJ19,TJ20,TJ21,TJ22,TJ23","THJP0612ABT1","23","THJP0612AST1",""
"TP4,TP6,TP7,TP9,TP10","5015","5","5015",""
"U1","ADA4807-4","1","ADA4807-4ARUZ-R7",""
